Provincia;Via;PKInicio;PKFin;Tramo;Tipo;Causa;Calzada;RutaAlt;Observaciones;FechaAlta;MasInfo;Column 13
Salamanca;SA-212;15.0;20.0;DE GUIJUELO (N-630) A LINARES DE RIOFRÍO (SA-205);Precaución;Obras;Única;;Obras en la vía;2025-10-06T16:44:19+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226608;
Salamanca;SA-214;21.8;22.22;DE GUIJUELO (N-630) A CRISTÓBAL (SA-220);Precaución;Otras;Única;;--;2025-10-22T10:02:20+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226777;
Segovia;CL-603;52.0;52.5;DE CANTALEJO (SG-205) A SG-231;Circulación alternativa;Obras;Única;;Pavimentación;2025-10-20T10:06:02+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226746;
Valladolid;CL-600;0.0;5.0;DE A-62 (SIMANCAS) A PUENTE DUERO (CL-610);Precaución;Obras;Única;;Pavimentación;2025-10-20T10:44:17+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226754;
Zamora;CL-527;0.0;3.67;DE ZAMORA A ZA-330;Precaución;Obras;Única;;--;2025-06-20T10:18:29+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225341;
Zamora;CL-527;3.67;15.33;DE ZA-330 A PERERUELA;Precaución;Obras;Única;;--;2025-06-20T10:19:20+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225342;
Zamora;CL-612;85.675;86.0;DE VILLALPANDO (N-VI) A CASTRONUEVO (ZA-702);Precaución;Obras;Única;;--;2025-10-10T15:19:14+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226687;
Zamora;ZA-102;9.37;21.01;DE ZA-101 A LÍMITE DE PROVINCIA DE ORENSE;Precaución;Otras;Única;;--;2025-09-26T15:09:16+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226501;
Zamora;ZA-306;15.05;22.0;DE ZA-302 A LÍMITE DE PROVINCIA DE SALAMANCA;Cortada;Obras;Única;;--;2025-10-22T10:33:02+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226785;
Zamora;ZA-306;17.5;18.3;DE ZA-302 A LÍMITE DE PROVINCIA DE SALAMANCA;Precaución;Obras;Única;;Obras en la vía;2025-01-02T09:22:49+01:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=219117;
Zamora;ZA-604;0.0;9.68;DE LA BÓVEDA DE TORO (ZA-605) A FUENTELAPEÑA (ZA-602);Precaución;Obras;Única;;--;2025-03-31T11:41:24+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=224251;
Zamora;ZA-604;9.68;19.19;DE FUENTELAPEÑA (ZA-602) A CAÑIZAL (CL-605);Cortada;Obras;Única;ZA-605 y CL-605;Incidencia en toda la carretera;2025-04-14T13:12:27+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=224439;
Zamora;ZA-610;5.0;5.0;DE CL-605 A MORALEJA DEL VINO (ZA-623);Cortada;Obras;Única;;--;2025-10-21T10:18:08+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226764;
Zamora;ZA-610;31.6;31.75;DE VENIALBO (ZA-611) A LA BÓVEDA DE TORO (ZA-605);Precaución;Obras;Única;;--;2025-09-30T14:31:45+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226540;
Zamora;ZA-712;1.02;1.705;DE ZA-705 A LÍMITE T.M. TORO;Cortada;Obras;Única;Camino de  la Malina >>>> Camino del Poleo;Obras en la vía;2025-09-01T14:19:20+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226190;
Zamora;ZA-714;9.98;10.058;DE PAJARES DE LA LAMPREANA (ZA-P-2310) A CASTRONUEVO (CL-612);Cortada;Obras;Única;;--;2025-06-06T16:09:57+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=225154;
Ávila;CL-505;21.0;29.74;DE AV-503 A NAVALPERAL DE PINARES (AV-502);Precaución;Obras;Única;;Obras en la vía;2025-10-22T10:10:43+02:00;https://servicios.jcyl.es/InviPublica/index.html?numInci=226779;
